tick_ts_ms,symbols_count,bytes_sent_per_client
1762758614347,3,87
1762758614448,3,87
1762758614549,3,87
1762758614650,3,87
1762758614751,3,87
1762758614852,3,87
1762758614953,3,87
1762758615053,3,87
1762758615154,3,87
1762758615255,3,87
1762758615356,3,87
1762758615457,3,87
1762758615558,3,87
1762758615659,3,87
1762758615760,3,87
1762758615861,3,87
1762758615962,3,87
1762758616063,3,87
1762758616164,3,87
1762758616264,3,87
1762758616365,3,87
1762758616466,3,87
1762758616567,3,87
1762758616668,3,87
1762758616769,3,87
1762758616870,3,87
1762758616970,3,87
1762758617071,3,87
1762758617172,3,87
1762758617273,3,87
1762758617374,3,87
1762758617475,3,87
1762758617576,3,87
1762758617676,3,87
1762758617777,3,87
1762758617878,3,87
1762758617979,3,87
1762758618080,3,87
1762758618181,3,87
1762758618282,3,87
1762758618383,3,87
1762758618483,3,87
1762758618584,3,87
1762758618685,3,87
1762758618786,3,87
1762758618887,3,87
1762758618988,3,87
1762758619089,3,87
1762758619190,3,87
1762758619291,3,87
1762758619391,3,87
1762758619492,3,87
1762758619593,3,87
1762758619694,3,87
1762758619795,3,87
1762758619896,3,87
1762758619996,3,87
1762758620097,3,87
1762758620198,3,87
1762758620299,3,87
1762758620400,3,87
1762758620501,3,87
1762758620602,3,87
1762758620702,3,87
1762758620803,3,87
1762758620904,3,87
1762758621005,3,87
1762758621106,3,87
1762758621207,3,87
1762758621308,3,87
1762758621409,3,87
1762758621509,3,87
1762758621610,3,87
1762758621711,3,87
1762758621812,3,87
1762758621913,3,87
1762758622014,3,87
1762758622115,3,87
1762758622216,3,87
1762758622317,3,87
1762758622418,3,87
1762758622518,3,87
1762758622619,3,87
1762758622720,3,87
1762758622821,3,87
1762758622922,3,87
1762758623023,3,87
1762758623124,3,87
1762758623225,3,87
1762758623326,3,87
1762758623426,3,87
1762758623527,3,87
1762758623628,3,87
1762758623729,3,87
1762758623830,3,87
1762758623931,3,87
1762758624031,3,87
1762758624132,3,87
1762758624233,3,87
1762758624334,3,87
1762758624435,3,87
1762758624536,3,87
1762758624637,3,87
1762758624737,3,87
1762758624838,3,87
1762758624939,3,87
1762758625040,3,87
1762758625141,3,87
1762758625242,3,87
1762758625343,3,87
1762758625444,3,87
1762758625545,3,87
1762758625645,3,87
1762758625746,3,87
1762758625847,3,87
1762758625948,3,87
1762758626049,3,87
1762758626150,3,87
1762758626251,3,87
1762758626352,3,87
1762758626454,3,87
1762758626555,3,87
1762758626656,3,87
1762758626757,3,87
1762758626858,3,87
1762758626959,3,87
1762758627060,3,87
1762758627160,3,87
1762758627261,3,87
1762758627362,3,87
1762758627463,3,87
1762758627564,3,87
1762758627665,3,87
1762758627766,3,87
1762758627867,3,87
1762758627968,3,87
1762758628069,3,87
1762758628169,3,87
1762758628270,3,87
1762758628371,3,87
1762758628472,3,87
1762758628573,3,87
1762758628674,3,87
1762758628775,3,87
1762758628876,3,87
1762758628976,3,87
1762758629077,3,87
1762758629178,3,87
1762758629279,3,87
1762758629380,3,87
1762758629481,3,87
1762758629582,3,87
1762758629683,3,87
1762758629784,3,87
1762758629885,3,87
1762758629986,3,87
1762758630086,3,87
1762758630187,3,87
1762758630288,3,87
1762758630389,3,87
1762758630490,3,87
1762758630591,3,87
1762758630692,3,87
1762758630793,3,87
1762758630894,3,87
1762758630994,3,87
1762758631095,3,87
1762758631196,3,87
1762758631297,3,87
1762758631398,3,87
1762758631499,3,87
1762758631600,3,87
1762758631701,3,87
1762758631802,3,87
1762758631903,3,87
1762758632004,3,87
1762758632105,3,87
1762758632206,3,87
1762758632306,3,87
1762758632407,3,87
1762758632508,3,87
1762758632609,3,87
1762758632710,3,87
1762758632811,3,87
1762758632912,3,87
1762758633020,3,87
1762758633120,3,87
1762758633221,3,87
1762758633322,3,87
1762758633423,3,87
1762758633524,3,87
